city,state_id,state_name
Mustang Ridge,TX,Texas
Muttontown,NY,New York
Mutual,OH,Ohio
Myers Corner,NY,New York
Myers Flat,CA,California
Myerstown,PA,Pennsylvania
Myersville,MD,Maryland
Mylo,ND,North Dakota
Myra,TX,Texas
Myrtle,MS,Mississippi
Myrtle Beach,SC,South Carolina
Myrtle Creek,OR,Oregon
Myrtle Grove,FL,Florida
Myrtle Point,OR,Oregon
Myrtle Springs,TX,Texas
Myrtletown,CA,California
Myrtlewood,AL,Alabama
Mystic,CT,Connecticut
Mystic Island,NJ,New Jersey
Myton,UT,Utah
Naalehu,HI,Hawaii
Nabesna,AK,Alaska
Naches,WA,Washington
Nachusa,IL,Illinois
Naco,AZ,Arizona
Nacogdoches,TX,Texas
Nada,TX,Texas
Nadine,NM,New Mexico
Nageezi,NM,New Mexico
Nags Head,NC,North Carolina
Naguabo,PR,Puerto Rico
Nahunta,GA,Georgia
Nakaibito,NM,New Mexico
